"","X","X.Error.in.as.ms....data.frame.......n..no.method.or.default.for.coercing..try.error..to..data.frame..n.","samplenum","duration","model","formula","p.as.factor.twilightperiod.ASTRONOMICAL.","SEp.as.factor.twilightperiod.ASTRONOMICAL.","p.as.factor.twilightperiod.BEFORE.","SEp.as.factor.twilightperiod.BEFORE.","p.as.factor.twilightperiod.CIVIL.","SEp.as.factor.twilightperiod.CIVIL.","p.as.factor.twilightperiod.NAUTICAL.","SEp.as.factor.twilightperiod.NAUTICAL.","p.as.factor.twilightperiod.NIGHT.","SEp.as.factor.twilightperiod.NIGHT.","p.Int.","SEp.Int.","psi.Int.","SEpsi.Int.","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"27",1,NA,12,900,"Twilight","~as.factor(twilightperiod) ~ 1",-0.0986474815523862,1.28771073007689,-0.799173305483281,1.54132046271651,1.19091516456986,1.24256836083861,-0.373021440830789,1.27887290299336,0.113013642340492,1.36770698533023,-1.59560798823685,1.13947994343028,-0.240922839683033,0.534405976596112,0,92.1704980566764,49.009206773279,7,23,112.018413546558,0,1,NA,1
"28",1,NA,12,960,"Twilight","~as.factor(twilightperiod) ~ 1",-1.12005597441979,1.5422153130926,-0.718087394755555,1.56932189379457,-1.00687288799536,1.54358996956815,-1.60954649532636,1.60827771327179,0.472917453565218,1.65333585726101,-0.19739339092029,1.42770309933851,-0.702452229941415,0.476813812051964,0,125.278295959512,43.7968009517345,7,23,101.593601903469,0,1,NA,1
"29",1,NA,12,1020,"Twilight","~as.factor(twilightperiod) ~ 1",11.2843537816023,171.536533324375,10.5738956262693,171.537667964026,10.0976602452404,171.536660297202,10.7729966336409,171.536387970431,9.76424540602514,171.538985350178,-12.013732134108,171.536090567838,-0.134859645672886,0.579316817896487,0,2495621.65162494,52.3226648166542,7,23,118.645329633308,0,1,NA,1
"30",1,NA,12,1080,"Twilight","~as.factor(twilightperiod) ~ 1",6.3003924237528,22.3663050575819,7.03425096196042,22.3674926722421,6.8775274004227,22.3644965609985,7.46799795461446,22.3617419224648,5.89440703927557,22.3819060759874,-8.39311846471819,22.3582811376913,0.161853857336827,0.612000277448507,0,46063.3423827107,56.2369678965003,7,23,126.473935793001,0,1,NA,1
"31",1,NA,12,1140,"Twilight","~as.factor(twilightperiod) ~ 1",0.397264906495032,0.990844193569315,-0.197736146929585,1.0049648557842,-0.391925021320739,1.04134648883728,-0.924135160882212,1.12787765410846,-10.904958561122,133.458011185118,-1.16522517244379,0.859287656627768,-0.412701973995896,0.560606054293081,0,216761.023659364,48.05699086191,7,23,110.11398172382,0,1,NA,1
"32",1,NA,12,3600,"Twilight","~as.factor(twilightperiod) ~ 1",5.13167469108486,35.9080201013228,5.21553970835793,35.9130354797447,4.82924523774881,35.9055023814163,5.18229410614152,35.9080489422206,4.54186901724589,35.9097830708411,-5.83593506670236,35.9062342694069,0.173457765486622,0.473780448205148,0,204169.694552655,82.4331728327113,7,23,178.866345665423,0,1,NA,1
"33",1,NA,12,60,"Twilight","~as.factor(twilightperiod) ~ 1",-6.19951546556246,1926.36547016817,9.52810159605497,114.775749873901,-5.42599319561572,1415.71235356157,9.48573128291436,114.773472058714,-4.85119360198546,1392.0670754152,-12.6637496031852,114.771202471957,11.0078289582975,970.679335796804,0,16852782.248918,12.5542106437402,7,23,39.1084212874803,0,1,NA,1
"34",1,NA,12,1200,"Twilight","~as.factor(twilightperiod) ~ 1",-0.596107519532281,0.941786125934124,-0.865093826388725,1.08867537029376,-1.10950777922268,0.973936603728915,-0.640606425275076,0.85803820811064,-1.25250916793692,1.06376851066583,-0.658561722271174,0.748808800142038,0.0204419723057226,0.550253625281026,0,59.3082041935468,61.5823868238147,7,23,137.164773647629,0,1,NA,1
"35",1,NA,12,120,"Twilight","~as.factor(twilightperiod) ~ 1",-8.63546064214981,45.8819587758342,-0.177624580598369,1.44587073380448,-1.2323779168878,1.33962480755999,-0.442187771980552,1.14134889373648,0.43445696181334,1.58673471647516,-1.28767892370248,0.912495373025092,-1.01053917649582,0.740682161102079,0,11928.9759500279,25.4956367397069,7,23,64.9912734794139,0,1,NA,1
"36",1,NA,12,180,"Twilight","~as.factor(twilightperiod) ~ 1",6.01418458936481,38.7911368209248,8.88319102851545,38.7963623814469,6.84962864459556,38.7914562541715,7.63934751135723,38.7811879506507,-4.19475614502909,620.362693121289,-8.31816733963741,38.7777596209332,-1.62899115055165,0.661024874917583,0,2310637.44352813,22.9010895770466,7,23,59.8021791540931,0,1,NA,1
"37",1,NA,12,240,"Twilight","~as.factor(twilightperiod) ~ 1",6.75458299104511,44.1363261835981,-8.19135675698526,3259.3876134395,8.45356081280672,44.130631327912,7.39869181759286,44.1306817657487,7.43533668458051,44.1376315893132,-9.00445518796614,44.1248377139148,-1.18434861066514,0.635573999842993,0,57702216.8408362,24.6670615151635,7,23,63.3341230303269,0,1,NA,1
