sm_id,location,year,month,day,day current format,,,,PreSS,ms0,SS,c1,n1,a1,nightcalc,a2,n2,c2,endCivil2SRstart,ms8,EndSRdaystart,SStoSRend
7524,Black Lake,2014,8,12:00:00 AM,,,,,9:12:00 PM,1:00:00 AM,10:12:00 PM,12:52:00 AM,1:20:00 AM,1:47:30 AM,12:04:00 AM,1:47:30 AM,1:20:00 AM,12:52:00 AM,6:11:00 AM,12:04:00 AM,6:15:00 AM,29220
7524,Black Lake,2014,8,12:00:00 AM,,,,,9:02:00 PM,1:00:00 AM,10:02:00 PM,12:50:00 AM,1:13:00 AM,2:06:00 AM,12:04:00 AM,2:06:00 AM,1:13:00 AM,12:50:00 AM,6:20:00 AM,12:04:00 AM,6:24:00 AM,30360
7524,Black Lake,2014,8,12:00:00 AM,,,,,8:51:00 PM,1:00:00 AM,9:51:00 PM,12:48:30 AM,1:08:00 AM,2:22:30 AM,12:04:00 AM,2:22:30 AM,1:08:00 AM,12:48:30 AM,6:29:00 AM,12:04:00 AM,6:33:00 AM,31560
7524,Black Lake,2014,8,12:00:00 AM,,,,,8:40:00 PM,1:00:00 AM,9:40:00 PM,12:47:00 AM,1:03:30 AM,1:43:30 AM,1:54:00 AM,1:43:30 AM,1:03:30 AM,12:47:00 AM,6:38:00 AM,12:04:00 AM,6:42:00 AM,32760
7758,Carp,2014,6,12:00:00 AM,,,,,7:45:00 PM,1:00:00 AM,8:45:00 PM,12:37:00 AM,12:48:30 AM,1:02:00 AM,3:43:00 AM,1:02:00 AM,12:48:30 AM,12:37:00 AM,5:20:00 AM,12:03:30 AM,5:23:00 AM,31290
7758,Carp,2014,6,12:00:00 AM,,,,,7:49:00 PM,1:00:00 AM,8:49:00 PM,12:37:00 AM,12:49:30 AM,1:04:00 AM,3:32:00 AM,1:04:00 AM,12:49:30 AM,12:37:00 AM,5:18:00 AM,12:03:30 AM,5:22:00 AM,30990
7758,Carp,2014,6,12:00:00 AM,,,,,7:51:00 PM,1:00:00 AM,8:51:00 PM,12:38:00 AM,12:50:00 AM,1:05:30 AM,3:22:00 AM,1:05:30 AM,12:50:00 AM,12:38:00 AM,5:17:00 AM,12:03:30 AM,5:20:00 AM,30750
7758,Carp,2014,6,12:00:00 AM,,,,,7:54:00 PM,1:00:00 AM,8:54:00 PM,12:38:00 AM,12:50:30 AM,1:07:00 AM,3:15:00 AM,1:07:00 AM,12:50:30 AM,12:38:00 AM,5:16:00 AM,12:03:30 AM,5:20:00 AM,30570
7758,Carp,2014,6,12:00:00 AM,,,,,7:55:00 PM,1:00:00 AM,8:55:00 PM,12:38:00 AM,12:50:30 AM,1:08:00 AM,3:12:00 AM,1:08:00 AM,12:50:30 AM,12:38:00 AM,5:16:00 AM,12:03:30 AM,5:20:00 AM,30510
7758,Carp,2014,6,12:00:00 AM,,,,,7:57:00 PM,1:00:00 AM,8:57:00 PM,12:38:00 AM,12:51:00 AM,1:08:00 AM,3:10:00 AM,1:08:00 AM,12:51:00 AM,12:38:00 AM,5:17:00 AM,12:03:30 AM,5:21:00 AM,30450
7758,Carp,2014,6,12:00:00 AM,,,,,7:57:00 PM,1:00:00 AM,8:57:00 PM,12:38:00 AM,12:50:00 AM,1:08:00 AM,3:13:00 AM,1:08:00 AM,12:50:00 AM,12:38:00 AM,5:18:00 AM,12:03:30 AM,5:22:00 AM,30510
7758,Carp,2014,6,12:00:00 AM,,,,,7:57:00 PM,1:00:00 AM,8:57:00 PM,12:38:00 AM,12:50:00 AM,1:07:00 AM,3:17:00 AM,1:07:00 AM,12:50:00 AM,12:38:00 AM,5:20:00 AM,12:03:30 AM,5:24:00 AM,30630
7758,Carp,2014,7,12:00:00 AM,,,,,7:56:00 PM,1:00:00 AM,8:56:00 PM,12:37:30 AM,12:49:30 AM,1:05:30 AM,3:25:00 AM,1:05:30 AM,12:49:30 AM,12:37:30 AM,5:22:00 AM,12:03:30 AM,5:26:00 AM,30810
7758,Carp,2014,7,12:00:00 AM,,,,,7:55:00 PM,1:00:00 AM,8:55:00 PM,12:37:00 AM,12:49:00 AM,1:03:30 AM,3:35:00 AM,1:03:30 AM,12:49:00 AM,12:37:00 AM,5:25:00 AM,12:03:30 AM,5:29:00 AM,31050
7758,Carp,2014,7,12:00:00 AM,,,,,7:53:00 PM,1:00:00 AM,8:53:00 PM,12:36:30 AM,12:48:00 AM,1:01:00 AM,3:48:00 AM,1:01:00 AM,12:48:00 AM,12:36:30 AM,5:28:00 AM,12:03:30 AM,5:32:00 AM,31350
7758,Carp,2014,7,12:00:00 AM,,,,,7:50:00 PM,1:00:00 AM,8:50:00 PM,12:36:00 AM,12:47:30 AM,12:59:00 AM,4:00:00 AM,12:59:00 AM,12:47:30 AM,12:36:00 AM,5:32:00 AM,12:03:30 AM,5:35:00 AM,31710
7758,Carp,2014,7,12:00:00 AM,,,,,7:47:00 PM,1:00:00 AM,8:47:00 PM,12:36:00 AM,12:46:00 AM,12:56:30 AM,4:15:00 AM,12:56:30 AM,12:46:00 AM,12:36:00 AM,5:36:00 AM,12:03:30 AM,5:39:00 AM,32130
7758,Carp,2014,7,12:00:00 AM,,,,,7:43:00 PM,1:00:00 AM,8:43:00 PM,12:35:30 AM,12:45:00 AM,12:54:30 AM,4:31:00 AM,12:54:30 AM,12:45:00 AM,12:35:30 AM,5:40:00 AM,12:03:30 AM,5:44:00 AM,32670
7758,Carp,2014,7,12:00:00 AM,,,,,7:39:00 PM,1:00:00 AM,8:39:00 PM,12:34:30 AM,12:44:00 AM,12:52:30 AM,4:47:00 AM,12:52:30 AM,12:44:00 AM,12:34:30 AM,5:44:00 AM,12:03:30 AM,5:48:00 AM,33150
7758,Carp,2014,7,12:00:00 AM,,,,,7:34:00 PM,1:00:00 AM,8:34:00 PM,12:34:30 AM,12:43:00 AM,12:50:00 AM,5:03:00 AM,12:50:00 AM,12:43:00 AM,12:34:30 AM,5:49:00 AM,12:03:30 AM,5:52:00 AM,33690
7758,Carp,2014,8,12:00:00 AM,,,,,7:33:00 PM,1:00:00 AM,8:33:00 PM,12:34:00 AM,12:42:30 AM,12:50:00 AM,5:08:00 AM,12:50:00 AM,12:42:30 AM,12:34:00 AM,5:50:00 AM,12:03:30 AM,5:54:00 AM,33870
7758,Carp,2014,8,12:00:00 AM,,,,,7:29:00 PM,1:00:00 AM,8:29:00 PM,12:34:00 AM,12:42:00 AM,12:48:30 AM,5:19:00 AM,12:48:30 AM,12:42:00 AM,12:34:00 AM,5:54:00 AM,12:03:30 AM,5:57:00 AM,34290
7758,Carp,2014,8,12:00:00 AM,,,,,7:28:00 PM,1:00:00 AM,8:28:00 PM,12:33:00 AM,12:42:00 AM,12:48:00 AM,5:24:00 AM,12:48:00 AM,12:42:00 AM,12:33:00 AM,5:55:00 AM,12:03:30 AM,5:58:00 AM,34410
7758,Carp,2014,8,12:00:00 AM,,,,,7:24:00 PM,1:00:00 AM,8:24:00 PM,12:33:00 AM,12:41:00 AM,12:47:00 AM,5:36:00 AM,12:47:00 AM,12:41:00 AM,12:33:00 AM,5:59:00 AM,12:03:30 AM,6:02:00 AM,34890
7758,Carp,2014,8,12:00:00 AM,,,,,7:18:00 PM,1:00:00 AM,8:18:00 PM,12:32:00 AM,12:40:30 AM,12:45:00 AM,5:54:00 AM,12:45:00 AM,12:40:30 AM,12:32:00 AM,6:03:00 AM,12:03:30 AM,6:07:00 AM,35550
7758,Carp,2014,8,12:00:00 AM,,,,,7:11:00 PM,1:00:00 AM,8:11:00 PM,12:32:00 AM,12:39:30 AM,12:43:30 AM,6:11:00 AM,12:43:30 AM,12:39:30 AM,12:32:00 AM,6:08:00 AM,12:03:30 AM,6:12:00 AM,36270
7758,Carp,2014,8,12:00:00 AM,,,,,7:05:00 PM,1:00:00 AM,8:05:00 PM,12:31:00 AM,12:39:00 AM,12:42:00 AM,6:27:00 AM,12:42:00 AM,12:39:00 AM,12:31:00 AM,6:13:00 AM,12:03:30 AM,6:16:00 AM,36870
8246,Carp,2014,6,12:00:00 AM,,,,,7:45:00 PM,1:00:00 AM,8:45:00 PM,12:37:00 AM,12:48:30 AM,1:02:00 AM,3:43:00 AM,1:02:00 AM,12:48:30 AM,12:37:00 AM,5:20:00 AM,12:03:30 AM,5:23:00 AM,31290
8246,Carp,2014,6,12:00:00 AM,,,,,7:49:00 PM,1:00:00 AM,8:49:00 PM,12:37:00 AM,12:49:30 AM,1:04:00 AM,3:32:00 AM,1:04:00 AM,12:49:30 AM,12:37:00 AM,5:18:00 AM,12:03:30 AM,5:22:00 AM,30990
8246,Carp,2014,6,12:00:00 AM,,,,,7:51:00 PM,1:00:00 AM,8:51:00 PM,12:38:00 AM,12:50:00 AM,1:05:30 AM,3:22:00 AM,1:05:30 AM,12:50:00 AM,12:38:00 AM,5:17:00 AM,12:03:30 AM,5:20:00 AM,30750
8246,Carp,2014,6,12:00:00 AM,,,,,7:54:00 PM,1:00:00 AM,8:54:00 PM,12:38:00 AM,12:50:30 AM,1:07:00 AM,3:15:00 AM,1:07:00 AM,12:50:30 AM,12:38:00 AM,5:16:00 AM,12:03:30 AM,5:20:00 AM,30570
8246,Carp,2014,6,12:00:00 AM,,,,,7:55:00 PM,1:00:00 AM,8:55:00 PM,12:38:00 AM,12:50:30 AM,1:08:00 AM,3:12:00 AM,1:08:00 AM,12:50:30 AM,12:38:00 AM,5:16:00 AM,12:03:30 AM,5:20:00 AM,30510
8246,Carp,2014,6,12:00:00 AM,,,,,7:57:00 PM,1:00:00 AM,8:57:00 PM,12:38:00 AM,12:51:00 AM,1:08:00 AM,3:10:00 AM,1:08:00 AM,12:51:00 AM,12:38:00 AM,5:17:00 AM,12:03:30 AM,5:21:00 AM,30450
8246,Carp,2014,6,12:00:00 AM,,,,,7:57:00 PM,1:00:00 AM,8:57:00 PM,12:38:00 AM,12:50:00 AM,1:08:00 AM,3:13:00 AM,1:08:00 AM,12:50:00 AM,12:38:00 AM,5:18:00 AM,12:03:30 AM,5:22:00 AM,30510
