sm_id,location,year,month,day,PreSS,ms0,SS,c1,n1,a1,nightcalc,a2,n2,c2,endCivil2SRstart,ms8,EndSRdaystart,SStoSRend
7755,Gordon Creek,2014,7,25,20:47:00,3600,21:47:00,2430,3330,4890,9120,4890,3330,2430,6:10:00,240,6:14:00,30660
7755,Gordon Creek,2014,7,27,20:45:00,3600,21:45:00,2400,3270,4620,10140,4620,3270,2400,6:13:00,240,6:17:00,30960
7755,Gordon Creek,2014,7,29,20:42:00,3600,21:42:00,2400,3210,4410,11040,4410,3210,2400,6:16:00,240,6:20:00,31320
7620,Musselwhite,2014,6,1,21:16:00,3600,22:16:00,2850,4470,6150,240,6150,4470,2850,5:45:00,240,5:49:00,27420
7620,Musselwhite,2014,6,5,21:20:00,3600,22:20:00,2940,4590,5730,240,5730,4590,2940,5:42:00,240,5:46:00,27000
7620,Musselwhite,2014,6,9,21:24:00,3600,22:24:00,2970,4800,5310,300,5310,4800,2970,5:40:00,300,5:45:00,26760
7620,Musselwhite,2014,6,13,21:26:00,3600,22:26:00,3000,4950,5040,240,5040,4950,3000,5:39:00,300,5:43:00,26520
7620,Musselwhite,2014,6,17,21:29:00,3600,22:29:00,3030,5010,4860,240,4860,5010,3030,5:39:00,300,5:43:00,26340
7620,Musselwhite,2014,6,21,21:30:00,3600,22:30:00,3000,5040,4830,300,4830,5040,3000,5:39:00,300,5:44:00,26340
7620,Musselwhite,2014,6,25,21:30:00,3600,22:30:00,3000,5010,4890,300,4890,5010,3000,5:41:00,300,5:45:00,26400
7620,Musselwhite,2014,6,29,21:30:00,3600,22:30:00,3000,4890,5100,300,5100,4890,3000,5:43:00,300,5:48:00,26580
7620,Musselwhite,2014,7,3,21:28:00,3600,22:28:00,2970,4740,5430,300,5430,4740,2970,5:46:00,300,5:51:00,26880
7620,Musselwhite,2014,7,7,21:26:00,3600,22:26:00,2940,4560,5820,240,5820,4560,2940,5:50:00,240,5:54:00,27120
7620,Musselwhite,2014,7,11,21:23:00,3600,22:23:00,2880,4350,6300,240,6300,4350,2880,5:54:00,240,5:58:00,27540
7620,Musselwhite,2014,7,15,21:19:00,3600,22:19:00,2820,4170,6810,240,6810,4170,2820,5:59:00,240,6:03:00,28080
7620,Musselwhite,2014,7,19,21:15:00,3600,22:15:00,2700,3990,7380,240,7380,3990,2700,6:04:00,240,6:08:00,28620
7620,Musselwhite,2014,7,23,21:09:00,3600,22:09:00,2670,3810,7950,240,7950,3810,2670,6:10:00,240,6:14:00,29340
7620,Musselwhite,2014,7,27,21:04:00,3600,22:04:00,2580,3630,6570,4200,6570,3630,2580,6:16:00,240,6:20:00,30000
7620,Musselwhite,2014,7,31,20:57:00,3600,21:57:00,2550,3450,5340,7860,5340,3450,2550,6:22:00,240,6:26:00,30780
7620,Musselwhite,2014,8,4,20:50:00,3600,21:50:00,2490,3330,4680,10380,4680,3330,2490,6:29:00,240,6:33:00,31620
7620,Musselwhite,2014,8,8,20:43:00,3600,21:43:00,2400,3210,4200,12540,4200,3210,2400,6:35:00,240,6:39:00,32400
7620,Musselwhite,2014,8,12,20:35:00,3600,21:35:00,2370,3060,3870,14460,3870,3060,2370,6:42:00,240,6:46:00,33300
