"","X","siteswithbooms","probdet","samplenum","duration"
"Sampled_28_Intervals.TempSunMoonBoomDetections.1min.int.csv.csv",1,11,0.478260869565217,28,60
"Sampled_28_Intervals.TempSunMoonBoomDetections.20min.int.csv.csv",1,17,0.739130434782609,28,1200
"Sampled_28_Intervals.TempSunMoonBoomDetections.2min.int.csv.csv",1,15,0.652173913043478,28,120
"Sampled_28_Intervals.TempSunMoonBoomDetections.3min.int.csv.csv",1,15,0.652173913043478,28,180
"Sampled_28_Intervals.TempSunMoonBoomDetections.4min.int.csv.csv",1,15,0.652173913043478,28,240
"Sampled_28_Intervals.TempSunMoonBoomDetections.5min.int.csv.csv",1,14,0.608695652173913,28,300
"Sampled_28_Intervals.TempSunMoonBoomDetections.6min.int.csv.csv",1,16,0.695652173913043,28,360
"Sampled_28_Intervals.TempSunMoonBoomDetections.7min.int.csv.csv",1,15,0.652173913043478,28,420
"Sampled_28_Intervals.TempSunMoonBoomDetections.8min.int.csv.csv",1,18,0.782608695652174,28,480
"Sampled_28_Intervals.TempSunMoonBoomDetections.9min.int.csv.csv",1,15,0.652173913043478,28,540
"Sampled_3_Intervals.TempSunMoonBoomDetections.10min.int.csv.csv",1,7,0.304347826086957,3,600
"Sampled_3_Intervals.TempSunMoonBoomDetections.11min.int.csv.csv",1,8,0.347826086956522,3,660
"Sampled_3_Intervals.TempSunMoonBoomDetections.12min.int.csv.csv",1,7,0.304347826086957,3,720
"Sampled_3_Intervals.TempSunMoonBoomDetections.13min.int.csv.csv",1,6,0.260869565217391,3,780
"Sampled_3_Intervals.TempSunMoonBoomDetections.14min.int.csv.csv",1,3,0.130434782608696,3,840
"Sampled_3_Intervals.TempSunMoonBoomDetections.15min.int.csv.csv",1,8,0.347826086956522,3,900
"Sampled_3_Intervals.TempSunMoonBoomDetections.16min.int.csv.csv",1,8,0.347826086956522,3,960
"Sampled_3_Intervals.TempSunMoonBoomDetections.17min.int.csv.csv",1,8,0.347826086956522,3,1020
