"","sm_id","intervalsP","numdetect"
"172",7524,"2014-06-14 03:16:00 CDT--2014-06-14 03:26:00 CDT",0
"173",7524,"2014-06-14 03:26:00 CDT--2014-06-14 03:36:00 CDT",0
"174",7524,"2014-06-14 03:36:00 CDT--2014-06-14 03:46:00 CDT",0
"175",7524,"2014-06-14 03:46:00 CDT--2014-06-14 03:56:00 CDT",0
"176",7524,"2014-06-14 03:56:00 CDT--2014-06-14 04:06:00 CDT",0
"177",7524,"2014-06-14 04:06:00 CDT--2014-06-14 04:16:00 CDT",0
"178",7524,"2014-06-14 04:16:00 CDT--2014-06-14 04:26:00 CDT",0
"179",7524,"2014-06-14 04:26:00 CDT--2014-06-14 04:36:00 CDT",0
"180",7524,"2014-06-14 04:36:00 CDT--2014-06-14 04:46:00 CDT",0
"181",7524,"2014-06-14 04:46:00 CDT--2014-06-14 04:56:00 CDT",0
"182",7524,"2014-06-14 04:56:00 CDT--2014-06-14 05:06:00 CDT",0
"183",7524,"2014-06-14 05:06:00 CDT--2014-06-14 05:16:00 CDT",0
"184",7524,"2014-06-14 05:16:00 CDT--2014-06-14 05:26:00 CDT",4
"185",7524,"2014-06-14 05:26:00 CDT--2014-06-14 05:36:00 CDT",0
"186",7524,"2014-06-14 05:36:00 CDT--2014-06-14 05:46:00 CDT",0
"187",7524,"2014-06-14 05:46:00 CDT--2014-06-14 05:56:00 CDT",0
"188",7524,"2014-06-17 22:19:00 CDT--2014-06-17 22:29:00 CDT",0
"189",7524,"2014-06-17 22:29:00 CDT--2014-06-17 22:39:00 CDT",0
"190",7524,"2014-06-17 22:39:00 CDT--2014-06-17 22:49:00 CDT",0
"191",7524,"2014-06-17 22:49:00 CDT--2014-06-17 22:59:00 CDT",0
"192",7524,"2014-06-17 22:59:00 CDT--2014-06-17 23:09:00 CDT",0
"193",7524,"2014-06-17 23:09:00 CDT--2014-06-17 23:19:00 CDT",0
"194",7524,"2014-06-17 23:19:00 CDT--2014-06-17 23:29:00 CDT",0
"195",7524,"2014-06-17 23:29:00 CDT--2014-06-17 23:39:00 CDT",0
"196",7524,"2014-06-17 23:39:00 CDT--2014-06-17 23:49:00 CDT",0
"197",7524,"2014-06-17 23:49:00 CDT--2014-06-17 23:59:00 CDT",0
"198",7524,"2014-06-17 23:59:00 CDT--2014-06-18 00:09:00 CDT",0
"199",7524,"2014-06-18 00:09:00 CDT--2014-06-18 00:19:00 CDT",0
"200",7524,"2014-06-18 00:19:00 CDT--2014-06-18 00:29:00 CDT",0
"201",7524,"2014-06-18 00:29:00 CDT--2014-06-18 00:39:00 CDT",0
"202",7524,"2014-06-18 00:39:00 CDT--2014-06-18 00:49:00 CDT",0
"203",7524,"2014-06-18 00:49:00 CDT--2014-06-18 00:59:00 CDT",0
"204",7524,"2014-06-18 00:59:00 CDT--2014-06-18 01:09:00 CDT",0
