"","sm_id","location","year","month","day","PreSS","ms0","SS","c1","n1","a1","nightcalc","a2","n2","c2","endCivil2SRstart","ms8","EndSRdaystart","SStoSRend","date","startime","starttime.posix","endtime.posix","fullrec.interval","fullrec.duration","fullrec.seconds","sample_id","duration_new","start_time_new","end_time_new","segment_id"
"34",13585,"Behchoko",2014,"06","17","22:49:00",3600,"23:49:00",7020,0,0,0,0,0,7020,"3:43:00",600,"3:53:00",14640,2014-06-17,"2014-06-17 22:49:00",2014-06-17 22:49:00,2014-06-18 04:53:00,2014-06-17 22:49:00 CDT--2014-06-18 04:53:00 CDT,21840s (~6.07 hours),21840,"13585 2014-06-17",3600,2014-06-18 03:49:00,2014-06-18 04:49:00,6
"35",13585,"Behchoko",2014,"06","17","22:49:00",3600,"23:49:00",7020,0,0,0,0,0,7020,"3:43:00",600,"3:53:00",14640,2014-06-17,"2014-06-17 22:49:00",2014-06-17 22:49:00,2014-06-18 04:53:00,2014-06-17 22:49:00 CDT--2014-06-18 04:53:00 CDT,21840s (~6.07 hours),21840,"13585 2014-06-17",240,2014-06-18 04:49:00,2014-06-18 04:53:00,7
"36",13585,"Behchoko",2014,"06","21","22:51:00",3600,"23:51:00",6960,0,0,0,0,0,6960,"3:43:00",600,"3:53:00",14520,2014-06-21,"2014-06-21 22:51:00",2014-06-21 22:51:00,2014-06-22 04:53:00,2014-06-21 22:51:00 CDT--2014-06-22 04:53:00 CDT,21720s (~6.03 hours),21720,"13585 2014-06-21",3600,2014-06-21 22:51:00,2014-06-21 23:51:00,1
"37",13585,"Behchoko",2014,"06","21","22:51:00",3600,"23:51:00",6960,0,0,0,0,0,6960,"3:43:00",600,"3:53:00",14520,2014-06-21,"2014-06-21 22:51:00",2014-06-21 22:51:00,2014-06-22 04:53:00,2014-06-21 22:51:00 CDT--2014-06-22 04:53:00 CDT,21720s (~6.03 hours),21720,"13585 2014-06-21",3600,2014-06-21 23:51:00,2014-06-22 00:51:00,2
"38",13585,"Behchoko",2014,"06","21","22:51:00",3600,"23:51:00",6960,0,0,0,0,0,6960,"3:43:00",600,"3:53:00",14520,2014-06-21,"2014-06-21 22:51:00",2014-06-21 22:51:00,2014-06-22 04:53:00,2014-06-21 22:51:00 CDT--2014-06-22 04:53:00 CDT,21720s (~6.03 hours),21720,"13585 2014-06-21",3600,2014-06-22 00:51:00,2014-06-22 01:51:00,3
"39",13585,"Behchoko",2014,"06","21","22:51:00",3600,"23:51:00",6960,0,0,0,0,0,6960,"3:43:00",600,"3:53:00",14520,2014-06-21,"2014-06-21 22:51:00",2014-06-21 22:51:00,2014-06-22 04:53:00,2014-06-21 22:51:00 CDT--2014-06-22 04:53:00 CDT,21720s (~6.03 hours),21720,"13585 2014-06-21",3600,2014-06-22 01:51:00,2014-06-22 02:51:00,4
"40",13585,"Behchoko",2014,"06","21","22:51:00",3600,"23:51:00",6960,0,0,0,0,0,6960,"3:43:00",600,"3:53:00",14520,2014-06-21,"2014-06-21 22:51:00",2014-06-21 22:51:00,2014-06-22 04:53:00,2014-06-21 22:51:00 CDT--2014-06-22 04:53:00 CDT,21720s (~6.03 hours),21720,"13585 2014-06-21",3600,2014-06-22 02:51:00,2014-06-22 03:51:00,5
"41",13585,"Behchoko",2014,"06","21","22:51:00",3600,"23:51:00",6960,0,0,0,0,0,6960,"3:43:00",600,"3:53:00",14520,2014-06-21,"2014-06-21 22:51:00",2014-06-21 22:51:00,2014-06-22 04:53:00,2014-06-21 22:51:00 CDT--2014-06-22 04:53:00 CDT,21720s (~6.03 hours),21720,"13585 2014-06-21",3600,2014-06-22 03:51:00,2014-06-22 04:51:00,6
"42",13585,"Behchoko",2014,"06","21","22:51:00",3600,"23:51:00",6960,0,0,0,0,0,6960,"3:43:00",600,"3:53:00",14520,2014-06-21,"2014-06-21 22:51:00",2014-06-21 22:51:00,2014-06-22 04:53:00,2014-06-21 22:51:00 CDT--2014-06-22 04:53:00 CDT,21720s (~6.03 hours),21720,"13585 2014-06-21",120,2014-06-22 04:51:00,2014-06-22 04:53:00,7
"43",13585,"Behchoko",2014,"06","25","22:51:00",3600,"23:51:00",7050,0,0,0,0,0,7050,"3:46:00",600,"3:56:00",14700,2014-06-25,"2014-06-25 22:51:00",2014-06-25 22:51:00,2014-06-26 04:56:00,2014-06-25 22:51:00 CDT--2014-06-26 04:56:00 CDT,21900s (~6.08 hours),21900,"13585 2014-06-25",3600,2014-06-25 22:51:00,2014-06-25 23:51:00,1
"44",13585,"Behchoko",2014,"06","25","22:51:00",3600,"23:51:00",7050,0,0,0,0,0,7050,"3:46:00",600,"3:56:00",14700,2014-06-25,"2014-06-25 22:51:00",2014-06-25 22:51:00,2014-06-26 04:56:00,2014-06-25 22:51:00 CDT--2014-06-26 04:56:00 CDT,21900s (~6.08 hours),21900,"13585 2014-06-25",3600,2014-06-25 23:51:00,2014-06-26 00:51:00,2
"45",13585,"Behchoko",2014,"06","25","22:51:00",3600,"23:51:00",7050,0,0,0,0,0,7050,"3:46:00",600,"3:56:00",14700,2014-06-25,"2014-06-25 22:51:00",2014-06-25 22:51:00,2014-06-26 04:56:00,2014-06-25 22:51:00 CDT--2014-06-26 04:56:00 CDT,21900s (~6.08 hours),21900,"13585 2014-06-25",3600,2014-06-26 00:51:00,2014-06-26 01:51:00,3
